titulo,apresentacao,condicao_clinica,confianca_extracao,contexto,cuidados,diluicao,dose,duracao,especialidade,fonte_arquivo,fonte_pagina,fonte_secao,frequencia,medicamento,modo_de_uso,observacoes,orientacoes,sinais_de_alerta,slug,status_revisao,subcondicao,tags,texto_original,tipo_de_conduta,via
Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade). — Metformina 850 mg,,Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade).,Média,APS,,,,,APS,Notion APS HTML,0,Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade).,,Metformina 850 mg,"Metformina 850 mg:
Tomar 1 comprimido VO 2x/dia, após refeições",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-iniciar-segunda-droga-oral-sulfonilureia-ou-isglt2-conforme-disponibilidade-metformina-850-mg-metformina-850-mg-tomar-1-comprimido-vo-2x-dia-apos-refeicoes,Revisão pendente,,APS,"Metformina 850 mg:
Tomar 1 comprimido VO 2x/dia, após refeições",Prescrição,VO
Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade). — Gliclazida MR 30 mg,,Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade).,Média,APS,,,,,APS,Notion APS HTML,0,Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade).,,Gliclazida MR 30 mg,"Gliclazida MR 30 mg:
Tomar 1 comprimido VO pela manhã
➡️ Avaliar risco de hipoglicemia e suspender se iniciar insulina
DM2 com HbA1c ≥7,0% após 3 meses – Início de Insulina
S – Subjetivo",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-iniciar-segunda-droga-oral-sulfonilureia-ou-isglt2-conforme-disponibilidade-gliclazida-mr-30-mg-gliclazida-mr-30-mg-tomar-1-comprimido-vo-pela-manha-avaliar-risco-de-hipogl,Revisão pendente,,APS,"Gliclazida MR 30 mg:
Tomar 1 comprimido VO pela manhã
➡️ Avaliar risco de hipoglicemia e suspender se iniciar insulina
DM2 com HbA1c ≥7,0% após 3 meses – Início de Insulina
S – Subjetivo",Prescrição,VO
"Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade). — Paciente com controle glicêmico insatisfatório mesmo após terapia tripla oral. Relata cansaço, visã",,Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade).,Média,APS,,,,,APS,Notion APS HTML,0,Iniciar segunda droga oral (sulfonilureia ou iSGLT2 conforme disponibilidade).,,"Paciente com controle glicêmico insatisfatório mesmo após terapia tripla oral. Relata cansaço, visão embaçada ocasional, glicemias em jejum frequentemente acima de 180 mg/dL.","Paciente com controle glicêmico insatisfatório mesmo após terapia tripla oral. Relata cansaço, visão embaçada ocasional, glicemias em jejum frequentemente acima de 180 mg/dL.
Adere parcialmente à dieta e medicações.
O – Objetivo
HbA1c:
IMC:
Glicemia de jejum:
AR: MV presente bilateralmente, sem RA, sem sinais de desconforto respiratório.
ACV: BRNF em 2T, sem sopros
AGI: Flácido, RHA+, timpânico, indolor à palpação superficial e profunda, sem VMG ou sinais de IP
EXT: Bem perfundidas, sem edemas
Neuro: ECG 15, pupilas isofotorreagentes, sem déficits neurológicos focais aparentes.
A – Avaliação
DM2 descompensado, com falha de múltiplas terapias orais.
Indicação de insulina basal (NPH) + manutenção da metformina.
P – Plano
Iniciar Insulina NPH à noite;
Manter metformina;
Orientação sobre hipoglicemia, rotação de locais de aplicação e registro glicêmico;
Fornecer seringas/agulhas ou prescrever para retirada;
Acompanhamento semanal para ajuste de dose.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-iniciar-segunda-droga-oral-sulfonilureia-ou-isglt2-conforme-disponibilidade-paciente-com-controle-glicemico-insatisfatorio-mesmo-apos-terapia-tripla-oral-relata-cansaco-visa,Revisão pendente,,APS,"Paciente com controle glicêmico insatisfatório mesmo após terapia tripla oral. Relata cansaço, visão embaçada ocasional, glicemias em jejum frequentemente acima de 180 mg/dL.
Adere parcialmente à dieta e medicações.
O – Objetivo
HbA1c:
IMC:
Glicemia de jejum:
AR: MV presente bilateralmente, sem RA, sem sinais de desconforto respiratório.
ACV: BRNF em 2T, sem sopros
AGI: Flácido, RHA+, timpânico, indolor à palpação superficial e profunda, sem VMG ou sinais de IP
EXT: Bem perfundidas, sem edemas
Neuro: ECG 15, pupilas isofotorreagentes, sem déficits neurológicos focais aparentes.
A – Avaliação
DM2 descompensado, com falha de múltiplas terapias orais.
Indicação de insulina basal (NPH) + manutenção da metformina.
P – Plano
Iniciar Insulina NPH à noite;
Manter metformina;
Orientação sobre hipoglicemia, rotação de locais de aplicação e registro glicêmico;
Fornecer seringas/agulhas ou prescrever para retirada;
Acompanhamento semanal para ajuste de dose.",Prescrição,
Acompanhamento semanal para ajuste de dose. — Metformina 850 mg,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,Metformina 850 mg,"Metformina 850 mg
Tomar 1 comprimido VO 2x/dia
Insulina NPH – frasco 100 UI/mL
Iniciar com 10 UI SC às 21h",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-metformina-850-mg-metformina-850-mg-tomar-1-comprimido-vo-2x-dia-insulina-nph-frasco-100-ui-ml-i,Revisão pendente,,APS,"Metformina 850 mg
Tomar 1 comprimido VO 2x/dia
Insulina NPH – frasco 100 UI/mL
Iniciar com 10 UI SC às 21h",Prescrição,VO
Acompanhamento semanal para ajuste de dose. — ➡️ Aumentar 2 UI a cada 3 dias se glicemia de jejum >130 mg/dL,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,➡️ Aumentar 2 UI a cada 3 dias se glicemia de jejum >130 mg/dL,➡️ Aumentar 2 UI a cada 3 dias se glicemia de jejum >130 mg/dL,Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-aumentar-2-ui-a-cada-3-dias-se-glicemia-de-jejum-130-mg-dl-aumentar-2-ui-a-cada-3-dias-se-glicemia-de-jejum-130-mg-dl,Revisão pendente,,APS,➡️ Aumentar 2 UI a cada 3 dias se glicemia de jejum >130 mg/dL,Prescrição,
Acompanhamento semanal para ajuste de dose. — ➡️ Reduzir 2–4 UI se glicemia <70 mg/dL ou hipoglicemia noturna,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,por 7 dias,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,➡️ Reduzir 2–4 UI se glicemia <70 mg/dL ou hipoglicemia noturna,"➡️ Reduzir 2–4 UI se glicemia <70 mg/dL ou hipoglicemia noturna
Realizar rodízio de aplicação (abdome preferencial)
Orientações adicionais (não farmacológicas):
• Glicemia capilar em jejum por 7 dias
• Anotar valores em papel ou caderneta
• Voltar em 7 dias para ajuste
Realizar a cada 3–6 meses (ou conforme disponibilidade):
Glicemia de jejum
Hemoglobina glicada (HbA1c)
Perfil lipídico completo
Creatinina + TFG estimada
Sódio, potássio
TGO, TGP
EAS + microalbuminúria
Eletrocardiograma (1x/ano ou conforme risco)
Prescrição Inicial PADRÃO - DM2 SEM COMPLICAÇÕES (Risco Baixo/Intermediário)
✅ Paciente sem sobrepeso/obesidade e HbA1c <7,5%",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-reduzir-2-4-ui-se-glicemia-70-mg-dl-ou-hipoglicemia-noturna-reduzir-2-4-ui-se-glicemia-70-mg-dl-ou-hipoglicemia-noturna-realizar-r,Revisão pendente,,APS,"➡️ Reduzir 2–4 UI se glicemia <70 mg/dL ou hipoglicemia noturna
Realizar rodízio de aplicação (abdome preferencial)
Orientações adicionais (não farmacológicas):
• Glicemia capilar em jejum por 7 dias
• Anotar valores em papel ou caderneta
• Voltar em 7 dias para ajuste
Realizar a cada 3–6 meses (ou conforme disponibilidade):
Glicemia de jejum
Hemoglobina glicada (HbA1c)
Perfil lipídico completo
Creatinina + TFG estimada
Sódio, potássio
TGO, TGP
EAS + microalbuminúria
Eletrocardiograma (1x/ano ou conforme risco)
Prescrição Inicial PADRÃO - DM2 SEM COMPLICAÇÕES (Risco Baixo/Intermediário)
✅ Paciente sem sobrepeso/obesidade e HbA1c <7,5%",Prescrição,
Acompanhamento semanal para ajuste de dose. — Metformina 500 mg,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,Metformina 500 mg,"Metformina 500 mg
VO, 1 comprimido 2x/dia após as principais refeições",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-metformina-500-mg-metformina-500-mg-vo-1-comprimido-2x-dia-apos-as-principais-refeicoes,Revisão pendente,,APS,"Metformina 500 mg
VO, 1 comprimido 2x/dia após as principais refeições",Prescrição,VO
Acompanhamento semanal para ajuste de dose. — → Aumentar gradualmente até 850–1000 mg 2x/dia conforme tolerância,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,até 850–1000 mg 2x/dia conforme tolerância,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,→ Aumentar gradualmente até 850–1000 mg 2x/dia conforme tolerância,"→ Aumentar gradualmente até 850–1000 mg 2x/dia conforme tolerância
Justificativa: Alta eficácia, baixo risco de hipoglicemia, custo baixo
✅ Paciente com sobrepeso/obesidade e HbA1c <7,5%",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-aumentar-gradualmente-ate-850-1000-mg-2x-dia-conforme-tolerancia-aumentar-gradualmente-ate-850-1000-mg-2x-dia-conforme-tolerancia-,Revisão pendente,,APS,"→ Aumentar gradualmente até 850–1000 mg 2x/dia conforme tolerância
Justificativa: Alta eficácia, baixo risco de hipoglicemia, custo baixo
✅ Paciente com sobrepeso/obesidade e HbA1c <7,5%",Prescrição,
Acompanhamento semanal para ajuste de dose. — Metformina 500 mg,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,Metformina 500 mg,"Metformina 500 mg
VO 2x/dia
Associar estilo de vida + reavaliar em 3 meses
OU (se disponível):",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-metformina-500-mg-metformina-500-mg-vo-2x-dia-associar-estilo-de-vida-reavaliar-em-3-meses-ou-s,Revisão pendente,,APS,"Metformina 500 mg
VO 2x/dia
Associar estilo de vida + reavaliar em 3 meses
OU (se disponível):",Prescrição,VO
Acompanhamento semanal para ajuste de dose. — iSGLT2 (Dapagliflozina 10 mg),,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,iSGLT2 (Dapagliflozina 10 mg),iSGLT2 (Dapagliflozina 10 mg),Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-isglt2-dapagliflozina-10-mg-isglt2-dapagliflozina-10-mg,Revisão pendente,,APS,iSGLT2 (Dapagliflozina 10 mg),Prescrição,
"Acompanhamento semanal para ajuste de dose. — AR GLP-1 (Liraglutida 0,6–1,8 mg SC/dia)",,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,"AR GLP-1 (Liraglutida 0,6–1,8 mg SC/dia)","AR GLP-1 (Liraglutida 0,6–1,8 mg SC/dia)
(mais comum em nível secundário, mas deve ser solicitado conforme protocolo clínico estadual)
✅ Paciente com HbA1c ≥7,5% (com ou sem obesidade)
Terapia dupla inicial recomendada:",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-ar-glp-1-liraglutida-0-6-1-8-mg-sc-dia-ar-glp-1-liraglutida-0-6-1-8-mg-sc-dia-mais-comum-em-nivel-secundario-mas-de,Revisão pendente,,APS,"AR GLP-1 (Liraglutida 0,6–1,8 mg SC/dia)
(mais comum em nível secundário, mas deve ser solicitado conforme protocolo clínico estadual)
✅ Paciente com HbA1c ≥7,5% (com ou sem obesidade)
Terapia dupla inicial recomendada:",Prescrição,SC
Acompanhamento semanal para ajuste de dose. — Metformina 850 mg VO 2x/dia,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,Metformina 850 mg VO 2x/dia,Metformina 850 mg VO 2x/dia,Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-metformina-850-mg-vo-2x-dia-metformina-850-mg-vo-2x-dia,Revisão pendente,,APS,Metformina 850 mg VO 2x/dia,Prescrição,VO
Acompanhamento semanal para ajuste de dose. — iSGLT2 (Empagliflozina 10 mg ou Dapagliflozina 10 mg),,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,iSGLT2 (Empagliflozina 10 mg ou Dapagliflozina 10 mg),"iSGLT2 (Empagliflozina 10 mg ou Dapagliflozina 10 mg)
→ onde disponível
Sulfonilureia",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-isglt2-empagliflozina-10-mg-ou-dapagliflozina-10-mg-isglt2-empagliflozina-10-mg-ou-dapagliflozina-10-mg-onde-disponivel-sulfonil,Revisão pendente,,APS,"iSGLT2 (Empagliflozina 10 mg ou Dapagliflozina 10 mg)
→ onde disponível
Sulfonilureia",Prescrição,
Acompanhamento semanal para ajuste de dose. — Gliclazida MR 30–60 mg/dia,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,Gliclazida MR 30–60 mg/dia,Gliclazida MR 30–60 mg/dia,Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-gliclazida-mr-30-60-mg-dia-gliclazida-mr-30-60-mg-dia,Revisão pendente,,APS,Gliclazida MR 30–60 mg/dia,Prescrição,
Acompanhamento semanal para ajuste de dose. — Glimepirida 1–4 mg/dia,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,Glimepirida 1–4 mg/dia,"Glimepirida 1–4 mg/dia
Evitar sulfonilureias em pacientes com risco de hipoglicemia (idosos, renal crônico, má nutrição)
Fármaco
Disponível no SUS
Observações
Metformina
✅ Sim",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-glimepirida-1-4-mg-dia-glimepirida-1-4-mg-dia-evitar-sulfonilureias-em-pacientes-com-risco-de-hipoglice,Revisão pendente,,APS,"Glimepirida 1–4 mg/dia
Evitar sulfonilureias em pacientes com risco de hipoglicemia (idosos, renal crônico, má nutrição)
Fármaco
Disponível no SUS
Observações
Metformina
✅ Sim",Prescrição,
Acompanhamento semanal para ajuste de dose. — /850 mg,,Acompanhamento semanal para ajuste de dose.,Média,APS,,,,,APS,Notion APS HTML,0,Acompanhamento semanal para ajuste de dose.,,/850 mg,"500/850 mg
Glibenclamida
✅ Sim
Maior risco de hipoglicemia
Gliclazida MR
✅ Sim
Menor risco de hipoglicemia
Insulina NPH
✅ Sim
Início com 10 UI à noite
Insulina Regular
✅ Sim
Para hiperglicemia aguda
Dapagliflozina
☑️* Alguma oferta
PCDT específico ou judicialização
Liraglutida (GLP-1)
☑️*
Disponível via programas específicos (estadual)
Tirzepatida
❌ Não
Ainda não disponível no SUS
🔄 INTENSIFICAÇÃO (HbA1c ≥7,0% após 3 meses)
Terapia tripla
Metformina + Gliclazida + iSGLT2 ou AR GLP-1",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-acompanhamento-semanal-para-ajuste-de-dose-850-mg-500-850-mg-glibenclamida-sim-maior-risco-de-hipoglicemia-gliclazida-mr-sim-m,Revisão pendente,,APS,"500/850 mg
Glibenclamida
✅ Sim
Maior risco de hipoglicemia
Gliclazida MR
✅ Sim
Menor risco de hipoglicemia
Insulina NPH
✅ Sim
Início com 10 UI à noite
Insulina Regular
✅ Sim
Para hiperglicemia aguda
Dapagliflozina
☑️* Alguma oferta
PCDT específico ou judicialização
Liraglutida (GLP-1)
☑️*
Disponível via programas específicos (estadual)
Tirzepatida
❌ Não
Ainda não disponível no SUS
🔄 INTENSIFICAÇÃO (HbA1c ≥7,0% após 3 meses)
Terapia tripla
Metformina + Gliclazida + iSGLT2 ou AR GLP-1",Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Sinvastatina 40 mg,,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Sinvastatina 40 mg,"Sinvastatina 40 mg
– 1 comprimido à noite, via oral.
Se alvo não atingido após 3 meses:
Associar",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-sinvastatina-40-mg-sinvastatina-40-mg-1-comprimido-a-noite-via-oral-se-alvo-nao-atingido-apos-3,Revisão pendente,,APS,"Sinvastatina 40 mg
– 1 comprimido à noite, via oral.
Se alvo não atingido após 3 meses:
Associar",Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Ezetimiba 10 mg,,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Ezetimiba 10 mg,"Ezetimiba 10 mg
– 1 comprimido à noite, via oral.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-ezetimiba-10-mg-ezetimiba-10-mg-1-comprimido-a-noite-via-oral,Revisão pendente,,APS,"Ezetimiba 10 mg
– 1 comprimido à noite, via oral.",Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Opção – Hipertrigliceridemia (> 500 mg/dL),,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Opção – Hipertrigliceridemia (> 500 mg/dL),2. Opção – Hipertrigliceridemia (> 500 mg/dL):,Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-opcao-hipertrigliceridemia-500-mg-dl-2-opcao-hipertrigliceridemia-500-mg-dl,Revisão pendente,,APS,2. Opção – Hipertrigliceridemia (> 500 mg/dL):,Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Fenofibrato 160 mg,,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Fenofibrato 160 mg,"Fenofibrato 160 mg
– 1 comprimido ao dia, via oral, após a refeição principal.
Considerar redução de álcool, carboidratos simples e reavaliar em 8–12 semanas.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-fenofibrato-160-mg-fenofibrato-160-mg-1-comprimido-ao-dia-via-oral-apos-a-refeicao-principal-c,Revisão pendente,,APS,"Fenofibrato 160 mg
– 1 comprimido ao dia, via oral, após a refeição principal.
Considerar redução de álcool, carboidratos simples e reavaliar em 8–12 semanas.",Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Ômega‑3 (EPA/DHA ≥ 2 g/dia),,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Ômega‑3 (EPA/DHA ≥ 2 g/dia),"Ômega‑3 (EPA/DHA ≥ 2 g/dia)
– disponível comercialmente ou orientar consumo alimentar (peixes de água fria, linhaça, chia).
Educação e estilo de vida:
Dieta hipolipemiante e hipoglicídica, conforme orientação nutricional.
Atividade física regular supervisionada ou orientada.
Grupo de educação em saúde sobre alimentação e prevenção cardiovascular.
Abordagem Inicial & Estratificação de Risco
Rastreio na UBS:
Perfil lipídico
sem jejum",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-omega-3-epa-dha-2-g-dia-omega-3-epa-dha-2-g-dia-disponivel-comercialmente-ou-orientar-consumo-alim,Revisão pendente,,APS,"Ômega‑3 (EPA/DHA ≥ 2 g/dia)
– disponível comercialmente ou orientar consumo alimentar (peixes de água fria, linhaça, chia).
Educação e estilo de vida:
Dieta hipolipemiante e hipoglicídica, conforme orientação nutricional.
Atividade física regular supervisionada ou orientada.
Grupo de educação em saúde sobre alimentação e prevenção cardiovascular.
Abordagem Inicial & Estratificação de Risco
Rastreio na UBS:
Perfil lipídico
sem jejum",Prescrição,
"Retorno em 3–4 meses para reavaliação clínica e laboratorial. — , salvo se triglicerídeos > 440 mg/dL (quando exigir jejum)",,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,", salvo se triglicerídeos > 440 mg/dL (quando exigir jejum)",", salvo se triglicerídeos > 440 mg/dL (quando exigir jejum)
Fazer rastreamento oportunístico em adultos ≥ 35 anos (homens) e ≥ 45 anos (mulheres) com fatores de risco (tabagismo, hipertensão, obesidade, diabetes, história familiar precoce);
Estratificação de risco cardiovascular em quatro níveis (nível de LDL-c e não‑HDL-c):
Baixo, Moderado, Alto ou Muito alto
Metas Lipídicas por Categoria de Risco
Categoria
LDL‑c alvo (mg/dL)
não‑HDL‑c (mg/dL)
Baixo
< 130
< 160
Moderado
< 100
< 130
Alto
< 70
< 100
Muito alto
< 50
< 80
Dados baseados nas diretrizes brasileiras atualizadas
Em pacientes já em uso de estatina, ajustar escore com base na dose para reavaliação de risco.
Intervenção Não-Farmacológica
Para todos os pacientes, orientar:
Dieta saudável: dieta mediterrânea, menos gorduras saturadas, mais fibras e ômega‑3;
Perda de peso: 5–10% em casos de sobrepeso/obesidade.
Exercício físico: 150 min/semana (intensidade moderada a vigorosa);
Cessação do tabagismo, controle de estresse e sono adequado (6–8 h por noite).
Terapia Farmacológica – Escalonamento
Estatina de primeira linha
conforme risco;
Se meta não alcançada:
Adicionar ezetimiba;
Fibratos",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-salvo-se-triglicerideos-440-mg-dl-quando-exigir-jejum-salvo-se-triglicerideos-440-mg-dl-quando-exigir-jejum-faze,Revisão pendente,,APS,", salvo se triglicerídeos > 440 mg/dL (quando exigir jejum)
Fazer rastreamento oportunístico em adultos ≥ 35 anos (homens) e ≥ 45 anos (mulheres) com fatores de risco (tabagismo, hipertensão, obesidade, diabetes, história familiar precoce);
Estratificação de risco cardiovascular em quatro níveis (nível de LDL-c e não‑HDL-c):
Baixo, Moderado, Alto ou Muito alto
Metas Lipídicas por Categoria de Risco
Categoria
LDL‑c alvo (mg/dL)
não‑HDL‑c (mg/dL)
Baixo
< 130
< 160
Moderado
< 100
< 130
Alto
< 70
< 100
Muito alto
< 50
< 80
Dados baseados nas diretrizes brasileiras atualizadas
Em pacientes já em uso de estatina, ajustar escore com base na dose para reavaliação de risco.
Intervenção Não-Farmacológica
Para todos os pacientes, orientar:
Dieta saudável: dieta mediterrânea, menos gorduras saturadas, mais fibras e ômega‑3;
Perda de peso: 5–10% em casos de sobrepeso/obesidade.
Exercício físico: 150 min/semana (intensidade moderada a vigorosa);
Cessação do tabagismo, controle de estresse e sono adequado (6–8 h por noite).
Terapia Farmacológica – Escalonamento
Estatina de primeira linha
conforme risco;
Se meta não alcançada:
Adicionar ezetimiba;
Fibratos",Prescrição,
"Retorno em 3–4 meses para reavaliação clínica e laboratorial. — ",,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,,": indicado especialmente para triglicerídeos >500 mg/dL (previne pancreatite);
Colestiramina
: alternativa em crianças ou mulheres em idade fértil com contraindicações a outras drogas;
Ácido nicotínico
: pouco usado devido aos efeitos adversos, opção rara.
Novas Terapias e Panorama Futuro (2025)
Inibidores de
PCSK9
inclisiran
ácido bempedoico
em evidência internacional (AACE 2025); ainda aguardando incorporação no SUS via CONITEC.
Principais Inibidores de PCSK9 aprovados
Alirocumabe (Praluent®)
Tipo: anticorpo monoclonal.
Via: subcutânea.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-indicado-especialmente-para-triglicerideos-500-mg-dl-previne-pancreatite-c,Revisão pendente,,APS,": indicado especialmente para triglicerídeos >500 mg/dL (previne pancreatite);
Colestiramina
: alternativa em crianças ou mulheres em idade fértil com contraindicações a outras drogas;
Ácido nicotínico
: pouco usado devido aos efeitos adversos, opção rara.
Novas Terapias e Panorama Futuro (2025)
Inibidores de
PCSK9
inclisiran
ácido bempedoico
em evidência internacional (AACE 2025); ainda aguardando incorporação no SUS via CONITEC.
Principais Inibidores de PCSK9 aprovados
Alirocumabe (Praluent®)
Tipo: anticorpo monoclonal.
Via: subcutânea.",Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Dose,,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Dose,"Dose: geralmente 75 mg a cada 2 semanas ou 150 mg conforme resposta.
Indicação: hipercolesterolemia familiar, alto risco CV.
Evolocumabe (Repatha®)
Tipo: anticorpo monoclonal.
Via: subcutânea.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-dose-dose-geralmente-75-mg-a-cada-2-semanas-ou-150-mg-conforme-resposta-indicacao,Revisão pendente,,APS,"Dose: geralmente 75 mg a cada 2 semanas ou 150 mg conforme resposta.
Indicação: hipercolesterolemia familiar, alto risco CV.
Evolocumabe (Repatha®)
Tipo: anticorpo monoclonal.
Via: subcutânea.",Prescrição,
Retorno em 3–4 meses para reavaliação clínica e laboratorial. — Dose,,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,Média,APS,,,,,APS,Notion APS HTML,0,Retorno em 3–4 meses para reavaliação clínica e laboratorial.,,Dose,Dose: 140 mg a cada 2 semanas ou 420 mg 1x/mês.,Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,,,notion-retorno-em-3-4-meses-para-reavaliacao-clinica-e-laboratorial-dose-dose-140-mg-a-cada-2-semanas-ou-420-mg-1x-mes,Revisão pendente,,APS,Dose: 140 mg a cada 2 semanas ou 420 mg 1x/mês.,Prescrição,
