titulo,especialidade,condicao_clinica,subcondicao,contexto,tipo_de_conduta,medicamento,apresentacao,dose,via,frequencia,duracao,diluicao,modo_de_uso,orientacoes,sinais_de_alerta,cuidados,observacoes,tags,fonte_arquivo,fonte_pagina,fonte_secao,texto_original,confianca_extracao,status_revisao,slug
"P - Plano — VO, dose única diária junto às refeições, podendo aumentar até 45 mg/dia.",APS,P - Plano,,APS,Prescrição,"VO, dose única diária junto às refeições, podendo aumentar até 45 mg/dia.",45 mg,45 mg,VO,dose única,até 45 mg/dia,,"– VO, dose única diária junto às refeições, podendo aumentar até 45 mg/dia.
Observação:
Liraglutida ou Lixisenatida podem auxiliar na perda ponderal em casos selecionados, conforme disponibilidade e protocolos locais.
Tratamento Não Farmacológico:
Orientar dieta com redução de carboidratos simples e açúcares, estímulo à prática regular de atividade física e controle de peso.
Hiperandrogenismo / Irregularidade Menstrual
Anticoncepcional hormonal combinado – uso contínuo (escolher uma opção):","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"– VO, dose única diária junto às refeições, podendo aumentar até 45 mg/dia.
Observação:
Liraglutida ou Lixisenatida podem auxiliar na perda ponderal em casos selecionados, conforme disponibilidade e protocolos locais.
Tratamento Não Farmacológico:
Orientar dieta com redução de carboidratos simples e açúcares, estímulo à prática regular de atividade física e controle de peso.
Hiperandrogenismo / Irregularidade Menstrual
Anticoncepcional hormonal combinado – uso contínuo (escolher uma opção):",Média,Revisado,notion-p-plano-vo-dose-unica-diaria-junto-as-refeicoes-podendo-aumentar-ate-45-mg-dia-vo-dose-unica-diaria-junto-as-refeicoes-podendo-aumentar-ate-45-mg-dia-obse
"P - Plano — Acetato de ciproterona + etinilestradiol (2 mg + 0,035 mg)",APS,P - Plano,,APS,Prescrição,"Acetato de ciproterona + etinilestradiol (2 mg + 0,035 mg)","2 mg + 0,035 mg",2 mg,VO,,,,"Acetato de ciproterona + etinilestradiol (2 mg + 0,035 mg)
– VO, 1 comprimido ao dia;","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"Acetato de ciproterona + etinilestradiol (2 mg + 0,035 mg)
– VO, 1 comprimido ao dia;",Média,Revisado,notion-p-plano-acetato-de-ciproterona-etinilestradiol-2-mg-0-035-mg-acetato-de-ciproterona-etinilestradiol-2-mg-0-035-mg-vo-1-comprimido-ao
"P - Plano — Drospirenona + etinilestradiol (3 mg + 0,03 mg)",APS,P - Plano,,APS,Prescrição,"Drospirenona + etinilestradiol (3 mg + 0,03 mg)","3 mg + 0,03 mg",3 mg,VO,,,,"Drospirenona + etinilestradiol (3 mg + 0,03 mg)
– VO, 1 comprimido ao dia;","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"Drospirenona + etinilestradiol (3 mg + 0,03 mg)
– VO, 1 comprimido ao dia;",Média,Revisado,notion-p-plano-drospirenona-etinilestradiol-3-mg-0-03-mg-drospirenona-etinilestradiol-3-mg-0-03-mg-vo-1-comprimido-ao-dia
"P - Plano — Drospirenona + etinilestradiol (3 mg + 0,02 mg)",APS,P - Plano,,APS,Prescrição,"Drospirenona + etinilestradiol (3 mg + 0,02 mg)","3 mg + 0,02 mg",3 mg,VO,,,,"Drospirenona + etinilestradiol (3 mg + 0,02 mg)
– VO, 1 comprimido ao dia.
Associação em Caso de Falha após 6 Meses (Hiperandrogenismo Persistente)","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"Drospirenona + etinilestradiol (3 mg + 0,02 mg)
– VO, 1 comprimido ao dia.
Associação em Caso de Falha após 6 Meses (Hiperandrogenismo Persistente)",Média,Revisado,notion-p-plano-drospirenona-etinilestradiol-3-mg-0-02-mg-drospirenona-etinilestradiol-3-mg-0-02-mg-vo-1-comprimido-ao-dia-assoc
P - Plano — Espironolactona 50–100 mg,APS,P - Plano,,APS,Prescrição,Espironolactona 50–100 mg,100 mg,100 mg,VO,de 12/12 horas; 12/12 h,,,"Espironolactona 50–100 mg
– VO, de 12/12 horas;","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"Espironolactona 50–100 mg
– VO, de 12/12 horas;",Média,Revisado,notion-p-plano-espironolactona-50-100-mg-espironolactona-50-100-mg-vo-de-12-12-horas
P - Plano — Finasterida 5 mg,APS,P - Plano,,APS,Prescrição,Finasterida 5 mg,5 mg,5 mg,VO,,,,"Finasterida 5 mg
– VO, 1 comprimido ao dia;","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"Finasterida 5 mg
– VO, 1 comprimido ao dia;",Média,Revisado,notion-p-plano-finasterida-5-mg-finasterida-5-mg-vo-1-comprimido-ao-dia
"P - Plano — Dexametasona 0,75 mg",APS,P - Plano,,APS,Prescrição,"Dexametasona 0,75 mg","0,75 mg","0,75 mg",VO,,durante uso de antiandrogênicos,,"Dexametasona 0,75 mg
– VO, 1 comprimido ao dia (uso restrito e criterioso).
📌 Associar sempre método contraceptivo eficaz durante uso de antiandrogênicos.
Infertilidade – Manejo Inicial na APS
Indutor de ovulação:","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,"APS, corticoide",Notion APS HTML,0,P - Plano,"Dexametasona 0,75 mg
– VO, 1 comprimido ao dia (uso restrito e criterioso).
📌 Associar sempre método contraceptivo eficaz durante uso de antiandrogênicos.
Infertilidade – Manejo Inicial na APS
Indutor de ovulação:",Média,Revisado,notion-p-plano-dexametasona-0-75-mg-dexametasona-0-75-mg-vo-1-comprimido-ao-dia-uso-restrito-e-criterioso-as
P - Plano — Citrato de clomifeno 50 mg,APS,P - Plano,,APS,Prescrição,Citrato de clomifeno 50 mg,50 mg,50 mg,VO,,por 5 dias,,"Citrato de clomifeno 50 mg
– VO, 1 comprimido ao dia por 5 dias, iniciando entre o 3 e o 5 dia do ciclo menstrual.","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,P - Plano,"Citrato de clomifeno 50 mg
– VO, 1 comprimido ao dia por 5 dias, iniciando entre o 3 e o 5 dia do ciclo menstrual.",Média,Revisado,notion-p-plano-citrato-de-clomifeno-50-mg-citrato-de-clomifeno-50-mg-vo-1-comprimido-ao-dia-por-5-dias-iniciando-entre
"P - Plano — Em caso de insucesso, aumentar progressivamente em 50 mg por ciclo, até dose máxima de 200 mg/dia.",APS,P - Plano,,APS,Prescrição,"Em caso de insucesso, aumentar progressivamente em 50 mg por ciclo, até dose máxima de 200 mg/dia.",50 mg,50 mg,Inalatória,,até dose máxima de 200 mg/dia; durante períodos de sangramento intenso,,"Em caso de insucesso, aumentar progressivamente em 50 mg por ciclo, até dose máxima de 200 mg/dia.
📌 Encaminhar para ginecologia/reprodução humana em caso de falha terapêutica, necessidade de gonadotrofinas ou indicação de técnicas de reprodução assistida.
Miomatose Uterina (Leiomiomatose)
S – Subjetivo
Paciente feminina em idade reprodutiva refere dor pélvica crônica intensa (EVA ___/10), de caráter ___ (cíclica/acíclica), com evolução há ____ meses. Relata sangramento uterino aumentado, com presença de coágulos e episódios prolongados. Associa sensação de peso em hipogástrio e aumento do volume abdominal. Refere repercussão nas atividades diárias e laborais.
DUM: //______
Ciclo menstrual: regular / irregular / hipermenorreia / menometrorragia
Nega gestação atual.
Nega febre, corrimento vaginal fétido ou dor pélvica com sinais infecciosos.
O – Objetivo
BEG, LOTE, corada, hidratada, anictérica, afebril, eupneica.
AR: MV presente bilateralmente, sem ruídos adventícios, sem sinais de desconforto respiratório
ACV: BRNF em 2 tempos, sem sopros
AGI: Flácido, RHA+, timpânico, indolor à palpação superficial e profunda, sem visceromegalias ou massas palpáveis, sem sinais de irritação peritoneal
Exame ginecológico (se realizado):
Útero de volume normal / aumentado
Superfície regular / irregular
Dor à mobilização: sim / não
Exames apresentados:
USG TV (//____):
Útero com volume ______ cm³
Presença de miomas: sim / não
Classificação FIGO (se descrita): ______
Maior nódulo: ______ cm
Endométrio: ______ mm
Líquido livre: sim / não
Hemograma prévio: normal / anemia leve / moderada / grave
A – Avaliação
Miomatose uterina sintomática. Sem sinais clínicos de infecção pélvica ou abdome agudo no momento.
P – Plano
Realizo acolhimento e explico que os miomas são tumores benignos do útero q","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS. | Revisão automática: item exige validação clínica/protocolo local antes de uso.,APS,Notion APS HTML,0,P - Plano,"Em caso de insucesso, aumentar progressivamente em 50 mg por ciclo, até dose máxima de 200 mg/dia.
📌 Encaminhar para ginecologia/reprodução humana em caso de falha terapêutica, necessidade de gonadotrofinas ou indicação de técnicas de reprodução assistida.
Miomatose Uterina (Leiomiomatose)
S – Subjetivo
Paciente feminina em idade reprodutiva refere dor pélvica crônica intensa (EVA ___/10), de caráter ___ (cíclica/acíclica), com evolução há ____ meses. Relata sangramento uterino aumentado, com presença de coágulos e episódios prolongados. Associa sensação de peso em hipogástrio e aumento do volume abdominal. Refere repercussão nas atividades diárias e laborais.
DUM: //______
Ciclo menstrual: regular / irregular / hipermenorreia / menometrorragia
Nega gestação atual.
Nega febre, corrimento vaginal fétido ou dor pélvica com sinais infecciosos.
O – Objetivo
BEG, LOTE, corada, hidratada, anictérica, afebril, eupneica.
AR: MV presente bilateralmente, sem ruídos adventícios, sem sinais de desconforto respiratório
ACV: BRNF em 2 tempos, sem sopros
AGI: Flácido, RHA+, timpânico, indolor à palpação superficial e profunda, sem visceromegalias ou massas palpáveis, sem sinais de irritação peritoneal
Exame ginecológico (se realizado):
Útero de volume normal / aumentado
Superfície regular / irregular
Dor à mobilização: sim / não
Exames apresentados:
USG TV (//____):
Útero com volume ______ cm³
Presença de miomas: sim / não
Classificação FIGO (se descrita): ______
Maior nódulo: ______ cm
Endométrio: ______ mm
Líquido livre: sim / não
Hemograma prévio: normal / anemia leve / moderada / grave
A – Avaliação
Miomatose uterina sintomática. Sem sinais clínicos de infecção pélvica ou abdome agudo no momento.
P – Plano
Realizo acolhimento e explico que os miomas são tumores benignos do útero q",Média,Não usar sem validação,notion-p-plano-em-caso-de-insucesso-aumentar-progressivamente-em-50-mg-por-ciclo-ate-dose-maxima-de-200-mg-dia-em-caso-de-insucesso-aumentar-progressivamente-em-50-mg-por-ciclo-ate
Programo retorno em ____ semanas para reavaliação e análise dos exames. — Ibuprofeno 400–600 mg,APS,Programo retorno em ____ semanas para reavaliação e análise dos exames.,,APS,Prescrição,Ibuprofeno 400–600 mg,600 mg,600 mg,VO,8/8h,por até 5 dias; até 5 dias consecutivos,,"Ibuprofeno 400–600 mg
– VO, 8/8h se dor, após refeições, por até 5 dias consecutivos
Opção 2","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,"APS, analgésico",Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação e análise dos exames.,"Ibuprofeno 400–600 mg
– VO, 8/8h se dor, após refeições, por até 5 dias consecutivos
Opção 2",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-e-analise-dos-exames-ibuprofeno-400-600-mg-ibuprofeno-400-600-mg-vo-8-8h-se-dor-apos-refeicoes-por-ate-5-dias-consecut
Programo retorno em ____ semanas para reavaliação e análise dos exames. — Naproxeno 500 mg,APS,Programo retorno em ____ semanas para reavaliação e análise dos exames.,,APS,Prescrição,Naproxeno 500 mg,500 mg,500 mg,VO,12/12h,,,"Naproxeno 500 mg
– VO, 12/12h se dor, após refeições
⚠️ Evitar em pacientes com úlcera gástrica ativa, insuficiência renal ou alergia a AINE.
Redução do Sangramento Uterino","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação e análise dos exames.,"Naproxeno 500 mg
– VO, 12/12h se dor, após refeições
⚠️ Evitar em pacientes com úlcera gástrica ativa, insuficiência renal ou alergia a AINE.
Redução do Sangramento Uterino",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-e-analise-dos-exames-naproxeno-500-mg-naproxeno-500-mg-vo-12-12h-se-dor-apos-refeicoes-evitar-em-pacientes-com
Programo retorno em ____ semanas para reavaliação e análise dos exames. — Ácido Tranexâmico 250–500 mg,APS,Programo retorno em ____ semanas para reavaliação e análise dos exames.,,APS,Prescrição,Ácido Tranexâmico 250–500 mg,500 mg,500 mg,VO,de 8/8h; 8/8h,durante os dias de fluxo menstrual intenso (máx,,"Ácido Tranexâmico 250–500 mg
– VO, 1 a 2 comprimidos de 8/8h durante os dias de fluxo menstrual intenso (máx. 5 dias por ciclo)
⚠️ Contraindicado em história de trombose ativa ou alto risco trombótico.
Controle Hormonal do Sangramento (se indicado e sem contraindicações)
Opção 1 – Progestagênio cíclico","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação e análise dos exames.,"Ácido Tranexâmico 250–500 mg
– VO, 1 a 2 comprimidos de 8/8h durante os dias de fluxo menstrual intenso (máx. 5 dias por ciclo)
⚠️ Contraindicado em história de trombose ativa ou alto risco trombótico.
Controle Hormonal do Sangramento (se indicado e sem contraindicações)
Opção 1 – Progestagênio cíclico",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-e-analise-dos-exames-acido-tranexamico-250-500-mg-acido-tranexamico-250-500-mg-vo-1-a-2-comprimidos-de-8-8h-durante-os-dias-de
Programo retorno em ____ semanas para reavaliação e análise dos exames. — Acetato de Medroxiprogesterona 10 mg,APS,Programo retorno em ____ semanas para reavaliação e análise dos exames.,,APS,Prescrição,Acetato de Medroxiprogesterona 10 mg,10 mg,10 mg,VO,1x/dia,,,"Acetato de Medroxiprogesterona 10 mg
– VO, 1x/dia do 15 ao 25 dia do ciclo
Opção 2 – Uso contínuo","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação e análise dos exames.,"Acetato de Medroxiprogesterona 10 mg
– VO, 1x/dia do 15 ao 25 dia do ciclo
Opção 2 – Uso contínuo",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-e-analise-dos-exames-acetato-de-medroxiprogesterona-10-mg-acetato-de-medroxiprogesterona-10-mg-vo-1x-dia-do-15o-ao-25o-dia-do-ci
Programo retorno em ____ semanas para reavaliação e análise dos exames. — Acetato de Medroxiprogesterona 10 mg,APS,Programo retorno em ____ semanas para reavaliação e análise dos exames.,,APS,Prescrição,Acetato de Medroxiprogesterona 10 mg,10 mg,10 mg,VO,1x/dia,,,"Acetato de Medroxiprogesterona 10 mg
– VO, 1x/dia contínuo, reavaliar em 3 meses
Opção 3 – Anticoncepcional hormonal combinado (uso contínuo)
• Etinilestradiol + levonorgestrel / drospirenona / gestodeno – 1 comprimido ao dia
⚠️ Avaliar contraindicações para estrogênio (HAS não controlada, tabagismo >35a, enxaqueca com aura, TEV prévio).
Tratamento de Anemia Ferropriva (se confirmada)","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação e análise dos exames.,"Acetato de Medroxiprogesterona 10 mg
– VO, 1x/dia contínuo, reavaliar em 3 meses
Opção 3 – Anticoncepcional hormonal combinado (uso contínuo)
• Etinilestradiol + levonorgestrel / drospirenona / gestodeno – 1 comprimido ao dia
⚠️ Avaliar contraindicações para estrogênio (HAS não controlada, tabagismo >35a, enxaqueca com aura, TEV prévio).
Tratamento de Anemia Ferropriva (se confirmada)",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-e-analise-dos-exames-acetato-de-medroxiprogesterona-10-mg-acetato-de-medroxiprogesterona-10-mg-vo-1x-dia-continuo-reavaliar-em-3
Programo retorno em ____ semanas para reavaliação e análise dos exames. — Sulfato Ferroso (40–60 mg de ferro elementar),APS,Programo retorno em ____ semanas para reavaliação e análise dos exames.,,APS,Prescrição,Sulfato Ferroso (40–60 mg de ferro elementar),40–60 mg de ferro elementar,preferencialmente em jejum ou com intervalo de pelo menos 1 hora antes ou 2 horas após refeições,VO,2x/dia,,,"Sulfato Ferroso (40–60 mg de ferro elementar)
– VO, 1 comprimido 1–2x/dia
Orientações para uso do ferro oral:
Administrar preferencialmente em jejum ou com intervalo de pelo menos 1 hora antes ou 2 horas após refeições. Evitar ingestão concomitante com leite, derivados lácteos, café, chá ou antiácidos, pois podem reduzir a absorção do ferro. Recomenda-se administrar junto a fonte de vitamina C (ex.: suco cítrico) para otimizar a absorção intestinal.
Associar vitamina C ou suco cítrico para melhor absorção.
Sangramento Uterino Anormal (SUA)
S – Subjetivo
Paciente feminina em idade reprodutiva refere alteração do padrão menstrual há ____ meses, com sangramento uterino aumentado/prolongado/intermenstrual/pós-coito, presença de coágulos (sim/não), episódios de amenorreia intercalados com sangramento volumoso (sim/não), dor pélvica associada (sim/não) e sinais de anemia como fadiga, tontura ou fraqueza (sim/não).
O – Objetivo
BEG, LOTE, corada / hipocorada, hidratada, anictérica, afebril, eupneica.
AR: MV presente bilateralmente, sem ruídos adventícios, sem sinais de desconforto respiratório
ACV: BRNF em 2 tempos, sem sopros
AGI: Flácido, RHA+, timpânico, indolor à palpação superficial e profunda, sem sinais de irritação peritoneal
Exame ginecológico (se realizado): colo uterino sem alterações/sangramento ativo/pólipo visível, útero de volume normal/aumentado, superfície regular/irregular e dor à mobilização (sim/não).
Exames apresentados:
Hemograma: normal / anemia leve / moderada / grave
TSH: normal / alterado
Beta-hCG: negativo / positivo / não realizado
USG TV (//____):
Endométrio: ______ mm
Miomas: sim / não
Pólipo: sim / não
Adenomiose: sim / não
Imagem suspeita: sim / não
A – Avaliação
Quadro compatível com Sangramento Uterino Anormal (SUA) em investigação etiológica","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS. | Revisão automática: item exige validação clínica/protocolo local antes de uso.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação e análise dos exames.,"Sulfato Ferroso (40–60 mg de ferro elementar)
– VO, 1 comprimido 1–2x/dia
Orientações para uso do ferro oral:
Administrar preferencialmente em jejum ou com intervalo de pelo menos 1 hora antes ou 2 horas após refeições. Evitar ingestão concomitante com leite, derivados lácteos, café, chá ou antiácidos, pois podem reduzir a absorção do ferro. Recomenda-se administrar junto a fonte de vitamina C (ex.: suco cítrico) para otimizar a absorção intestinal.
Associar vitamina C ou suco cítrico para melhor absorção.
Sangramento Uterino Anormal (SUA)
S – Subjetivo
Paciente feminina em idade reprodutiva refere alteração do padrão menstrual há ____ meses, com sangramento uterino aumentado/prolongado/intermenstrual/pós-coito, presença de coágulos (sim/não), episódios de amenorreia intercalados com sangramento volumoso (sim/não), dor pélvica associada (sim/não) e sinais de anemia como fadiga, tontura ou fraqueza (sim/não).
O – Objetivo
BEG, LOTE, corada / hipocorada, hidratada, anictérica, afebril, eupneica.
AR: MV presente bilateralmente, sem ruídos adventícios, sem sinais de desconforto respiratório
ACV: BRNF em 2 tempos, sem sopros
AGI: Flácido, RHA+, timpânico, indolor à palpação superficial e profunda, sem sinais de irritação peritoneal
Exame ginecológico (se realizado): colo uterino sem alterações/sangramento ativo/pólipo visível, útero de volume normal/aumentado, superfície regular/irregular e dor à mobilização (sim/não).
Exames apresentados:
Hemograma: normal / anemia leve / moderada / grave
TSH: normal / alterado
Beta-hCG: negativo / positivo / não realizado
USG TV (//____):
Endométrio: ______ mm
Miomas: sim / não
Pólipo: sim / não
Adenomiose: sim / não
Imagem suspeita: sim / não
A – Avaliação
Quadro compatível com Sangramento Uterino Anormal (SUA) em investigação etiológica",Média,Não usar sem validação,notion-programo-retorno-em-semanas-para-reavaliacao-e-analise-dos-exames-sulfato-ferroso-40-60-mg-de-ferro-elementar-sulfato-ferroso-40-60-mg-de-ferro-elementar-vo-1-comprimido-1-2
Programo retorno em ____ semanas para reavaliação clínica e análise dos exames. — Ácido Tranexâmico 500 mg,APS,Programo retorno em ____ semanas para reavaliação clínica e análise dos exames.,,APS,Prescrição,Ácido Tranexâmico 500 mg,500 mg,500 mg,VO,4x/dia,por até 4 dias; até 4 dias durante o sangramento; durante o sangramento,,"Ácido Tranexâmico 500 mg
– VO, 3–4x/dia por até 4 dias durante o sangramento
⚠️ Contraindicado em história de trombose ativa.
Controle da Dor e Redução do Fluxo (AINEs)
Opção 1","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação clínica e análise dos exames.,"Ácido Tranexâmico 500 mg
– VO, 3–4x/dia por até 4 dias durante o sangramento
⚠️ Contraindicado em história de trombose ativa.
Controle da Dor e Redução do Fluxo (AINEs)
Opção 1",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-clinica-e-analise-dos-exames-acido-tranexamico-500-mg-acido-tranexamico-500-mg-vo-3-4x-dia-por-ate-4-dias-durante-o-sangramento
Programo retorno em ____ semanas para reavaliação clínica e análise dos exames. — Ibuprofeno 600 mg,APS,Programo retorno em ____ semanas para reavaliação clínica e análise dos exames.,,APS,Prescrição,Ibuprofeno 600 mg,600 mg,600 mg,VO,8/8h,,,"Ibuprofeno 600 mg
– VO, 8/8h por 4–5 dias
Opção 2","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,"APS, analgésico",Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação clínica e análise dos exames.,"Ibuprofeno 600 mg
– VO, 8/8h por 4–5 dias
Opção 2",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-clinica-e-analise-dos-exames-ibuprofeno-600-mg-ibuprofeno-600-mg-vo-8-8h-por-4-5-dias-opcao-2
Programo retorno em ____ semanas para reavaliação clínica e análise dos exames. — Diclofenaco 50 mg,APS,Programo retorno em ____ semanas para reavaliação clínica e análise dos exames.,,APS,Prescrição,Diclofenaco 50 mg,50 mg,50 mg,VO,8/8h,,,"Diclofenaco 50 mg
– VO, 8/8h por 4–5 dias
Opção 3","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Extraído do bloco “Prescrição” do HTML exportado do Notion APS.,APS,Notion APS HTML,0,Programo retorno em ____ semanas para reavaliação clínica e análise dos exames.,"Diclofenaco 50 mg
– VO, 8/8h por 4–5 dias
Opção 3",Média,Revisado,notion-programo-retorno-em-semanas-para-reavaliacao-clinica-e-analise-dos-exames-diclofenaco-50-mg-diclofenaco-50-mg-vo-8-8h-por-4-5-dias-opcao-3
